Sample:	Donor	Cell state	Electroporation	Staining	Live | Freq. of Parent	Live/GFP+ | Freq. of Parent	Live/GFP+/CCR7+ CD45RO+ | Freq. of Parent	Live/GFP+/CCR7+ CD45RO- | Freq. of Parent	Live/GFP+/CCR7- CD45RO+ | Freq. of Parent	Live/GFP+/CCR7- CD45RO- | Freq. of Parent	Live/GFP+/CD25+ CD69+ | Freq. of Parent	Live/GFP+/CD25+ CD69- | Freq. of Parent	Live/GFP+/CD25- CD69+ | Freq. of Parent	Live/GFP+/CD25- CD69- | Freq. of Parent	Live/GFP- | Freq. of Parent	Live/GFP-/CCR7+ CD45RO+ | Freq. of Parent	Live/GFP-/CCR7+ CD45RO- | Freq. of Parent	Live/GFP-/CCR7- CD45RO+ | Freq. of Parent	Live/GFP-/CCR7- CD45RO- | Freq. of Parent	Live/GFP-/CD25+ CD69+ | Freq. of Parent	Live/GFP-/CD25+ CD69- | Freq. of Parent	Live/GFP-/CD25- CD69+ | Freq. of Parent	Live/GFP-/CD25- CD69- | Freq. of Parent	Live/CCR7+ CD45RO+ | Freq. of Parent	Live/CCR7+ CD45RO- | Freq. of Parent	Live/CCR7- CD45RO+ | Freq. of Parent	Live/CCR7- CD45RO- | Freq. of Parent	Live/CD25+ CD69+ | Freq. of Parent	Live/CD25+ CD69- | Freq. of Parent	Live/CD25- CD69+ | Freq. of Parent	Live/CD25- CD69- | Freq. of Parent
30A-DNA-act.fcs	Donor 30	Activated	NDG plasmid	Activation status	18.5	20.8	10.4	0.81	81.5	7.28	93.2	1.85	4.77	0.16	79.2	0.014	0	82	18	81.7	5.76	11	1.5	2.18	0.17	81.9	15.7	84.1	4.95	9.69	1.22
30A-DNA-naive-rerun.fcs	Donor 30	Activated	NDG plasmid	Naive status	15.6	21.4	75.1	13.1	11	0.84	59.9	31	3.65	5.36	78.6	59.1	21.5	15.9	3.55	14.4	67.7	0.25	17.7	62.5	19.7	14.9	2.97	24.2	59.8	0.98	15
30A-noDNA-act.fcs	Donor 30	Activated	no DNA	Activation status	31.1	0.064	0	0	95	5	100	0	0	0	99.9	0.26	0	81.7	18	82.2	4.47	11.9	1.41	0.26	0	81.8	18	82.2	4.46	11.9	1.41
30A-noDNA-naive.fcs	Donor 30	Activated	no DNA	Naive status	33.2	0.051	70.6	11.8	11.8	5.88	88.2	0	5.88	5.88	99.9	65.8	18.9	13.1	2.21	17.1	67.5	0.27	15.1	65.8	18.9	13.1	2.21	17.1	67.5	0.27	15.1
30U-DNA-act.fcs	Donor 30	Unstimulated	NDG plasmid	Activation status	57.7	0.75	1.39	0.23	32.3	66.1	33.7	12	27.3	27	99.2	0.023	0	18.4	81.5	8.23	17	11.6	63.2	3.30E-02	1.73E-03	18.5	81.4	8.42	17	11.7	62.9
30U-DNA-naive.fcs	Donor 30	Unstimulated	NDG plasmid	Naive status	57	1	47.9	12.5	31.2	8.45	38.4	46.3	2.99	12.3	99	35	32.3	29.5	3.26	1.3	67.3	0.048	31.4	35.1	32.1	29.5	3.32	1.67	67	0.077	31.2
30U-noDNA-act-rerun.fcs	Donor 30	Unstimulated	no DNA	Activation status	79	0.07	5.45	0	30.9	63.6	72.7	3.64	23.6	0	99.9	1.30E-02	2.53E-03	9.4	90.6	2.82	10.9	12.3	74	1.60E-02	2.53E-03	9.41	90.6	2.87	10.9	12.3	74
30U-noDNA-naive.fcs	Donor 30	Unstimulated	no DNA	Naive status	81	0.08	60	6.15	30.8	3.08	98.5	0	1.54	0	99.9	37.3	22.8	36.2	3.74	1.81	74.8	0.038	23.4	37.4	22.7	36.2	3.73	1.89	74.7	0.04	23.3
31A-DNA-act.fcs	Donor 31	Activated	NDG plasmid	Activation status	16.5	10.1	5.97	0.6	81.2	12.3	91.2	1.15	7.48	0.18	89.9	0.11	0	71.1	28.8	74.9	2.84	20.9	1.41	0.7	0.061	72.1	27.1	76.5	2.67	19.5	1.28
31A-DNA-naive.fcs	Donor 31	Activated	NDG plasmid	Naive status	17.2	10.2	78.1	12.1	7.95	1.82	56.8	35.8	2.95	4.48	89.8	53.7	11.7	16.7	18	16.1	62.5	0.65	20.7	56.2	11.7	15.8	16.3	20.3	59.8	0.89	19.1
31A-noDNA-act.fcs	Donor 31	Activated	no DNA	Activation status	24.7	0.11	0	0	88.5	11.5	100	0	0	0	99.9	0.15	0	66.9	32.9	72.9	1.89	24	1.2	0.15	0	66.9	32.9	72.9	1.88	24	1.2
31A-noDNA-naive.fcs	Donor 31	Activated	no DNA	Naive status	26	0.096	92	8	0	0	96	4	0	0	99.9	65	10.5	11	13.6	29.6	53.5	1.23	15.7	65	10.5	11	13.5	29.7	53.4	1.22	15.7
31U-DNA-act.fcs	Donor 31	Unstimulated	NDG plasmid	Activation status	55.1	1.02	1.97	1.61	26.3	70.1	32.2	8.41	34.5	24.9	9.90E+01	7.34E-03	0	11.5	88.5	5.66	10.1	13.9	70.3	0.027	0.016	11.7	88.3	5.93	10.1	14.2	69.9
31U-DNA-naive.fcs	Donor 31	Unstimulated	NDG plasmid	Naive status	52.4	1.28	48.5	25.6	13.8	12.1	39.7	33.8	6.55	19.9	98.7	27.6	49.5	15.1	7.79	2.17	49.1	0.15	48.6	27.9	49.2	15.1	7.85	2.66	48.9	0.23	48.2
31U-noDNA-act.fcs	Donor 31	Unstimulated	no DNA	Activation status	80.7	0.032	0	0	11.5	88.5	50	0	50	0	100	0.12	0	9.1	90.8	3.76	8.34	16.2	71.7	0.12	0	9.1	90.8	3.77	8.34	16.2	71.7
31U-noDNA-naive.fcs	Donor 31	Unstimulated	no DNA	Naive status	78.3	0.072	71.4	10.7	14.3	3.57	94.6	0	5.36	0	99.9	31.5	36.3	25.2	7.03	2.78	61	0.13	36.1	31.5	36.2	25.2	7.03	2.84	61	0.13	36.1
33A-DNA-act.fcs	Donor 33	Activated	NDG plasmid	Activation status	12.4	25.5	6.56	1.14	77	15.3	84.7	5.49	8.51	1.32	74.5	0.22	0	68.6	31.2	67.8	8.4	19.8	3.93	1.83	0.29	70.7	27.1	72.1	7.66	16.9	3.27
33A-DNA-naive.fcs	Donor 33	Activated	NDG plasmid	Naive status	13.4	25.1	85.3	8.04	5.6	1.1	67.7	27.7	2.26	2.29	74.9	55.8	8.98	18	17.2	26.7	54.1	2.13	17.1	63.2	8.75	14.9	13.2	37	47.4	2.16	13.4
33A-noDNA-act.fcs	Donor 33	Activated	no DNA	Activation status	21.8	0.28	0	0	83.6	16.4	91.8	0	8.2	0	99.7	0.17	0	70.1	29.7	68	9.45	19.2	3.32	0.17	0	70.2	29.7	68	9.43	19.2	3.31
33A-noDNA-naive.fcs	Donor 33	Activated	no DNA	Naive status	23.9	0.32	82.9	7.89	7.89	1.32	98.7	0	1.32	0	99.7	72.6	5.76	11.5	10.1	42.5	46.2	1.45	9.85	72.63	5.77	11.5	10.1	42.7	46	1.44	9.82
33U-DNA-act-rerun.fcs	Donor 33	Unstimulated	NDG plasmid	Activation status	43.1	1.48	1.25	1.88	34.8	62	41.1	8.28	32.5	18.1	98.5	0	0	16	84	8.81	13	20.5	57.7	0.019	0.028	16.3	83.6	9.29	12.9	20.7	57.1
33U-DNA-naive.fcs	Donor 33	Unstimulated	NDG plasmid	Naive status	42	1.86	43.2	23.5	22.5	10.7	36.3	40.2	9.72	13.8	98.1	29.8	37.6	23.8	8.85	2.5	59.8	0.34	37.4	30.1	37.3	23.7	8.88	3.13	59.4	0.51	37
33U-noDNA-act.fcs	Donor 33	Unstimulated	no DNA	Activation status	69.1	0.13	0	0	31.2	68.8	61.3	0	38.7	0	99.9	0.081	0	11.8	88.1	5.06	10.2	19.8	64.8	0.081	0	11.8	88.1	5.14	10.2	19.9	64.8
